year,pieces,descr,set
2001,9.0,"Advent Calendar 2001, Creator (Day 16) Police Boat<br>-Advent Calendar 2001, Creator (Day 17) Whale<br>-Advent Calendar 2001, Creator (Day 19) Parrot<br>-Find the Power BIONICLE Kit",Sets:<br>-
2001,106.0,Locomotive Blue Bricks<br>-Locomotive Green Bricks<br>-Locomotive Black Bricks<br>-Locomotive Brown Bricks<br>-Locomotive Gray Bricks,Sets:<br>-
1998,508.0,Freestyle Playdesk,"Set: "
1999,404.0,Large Bucket,"Set: "
2008,88.0,Mini Forklift,"Set: "
1995,4.0,9V Micromotor,"Set: "
2010,8.0,Exclusive Spaceman Magnet<br>-Advent Calendar 2010 Kingdoms (Day 15) - Jousting Dummy with Helmet and Halberd<br>-Tribal Hunter - Complete Set<br>-Spaceman - Complete Set<br>-Forestman - Complete Set<br>-Skater - Complete Set<br>-Weightlifter - Complete Set<br>-Spartan Warrior - Complete Set,Sets:<br>-
2009,423.0,Good Neighbors at Bikini Bottom,"Set: "
1989,38.0,Castle Equipment,"Set: "
2011,122.0,"Calendar, Brick Calendar - Days and Months in English","Set: "
1987,14.0,"Snail<br>-Plates, Gear Racks, etc.",Sets:<br>-
1970,117.0,Jumbo Jet,"Set: "
1993,119.0,Baja Blaster,"Set: "
1980,95.0,Level Crossing Manual,"Set: "
1997,359.0,Deep Sea Bounty,"Set: "
1966,65.0,2 x 4 Bricks (The Building Toy),"Set: "
1990,227.0,Knight's Stronghold,"Set: "
2010,256.0,Pig Farm & Tractor,"Set: "
2014,736.0,Lord Business' Hideout,"Set: "
2010,4295.0,Tower Bridge,"Set: "
2009,153.0,Lego Brickmaster Pirates (Hardcover),"Set: "
2012,205.0,Dirt Bike Transporter,"Set: "
1989,6.0,Pneumatic Tubes and Pieces<br>-Sloping Frames<br>-Assorted Arches,Sets:<br>-
2004,778.0,4WD,"Set: "
2015,527.0,Enter the Serpent,"Set: "
2006,270.0,Army of Vikings with Heavy Artillery Wagon,"Set: "
2002,427.0,"Santa Fe Super Chief, NOT the Limited Edition","Set: "
1989,138.0,Emirates Airliner,"Set: "
2003,46.0,Slap Shot<br>-Slammer Goalie<br>-Jabba's Message<br>-Panrahk - With mini CD-ROM<br>-Lerahk - With mini CD-ROM<br>-Guurahk - With mini CD-ROM<br>-Turahk<br>-Turahk - With mini CD-ROM,Sets:<br>-
2015,354.0,TIE Advanced Prototype,"Set: "
2000,44.0,Frost<br>-Flare,Sets:<br>-
2007,103.0,BrickMaster,"Set: "
2011,7.0,Advent Calendar 2011 City (Day 17) Police Car Top Section<br>-Advent Calendar 2011 Star Wars (Day 20) - TIE Fighter<br>-Advent Calendar 2011 Star Wars (Day 24) - Santa Yoda<br>-Copenhagen Key Chain<br>-Power Functions Train Motor<br>-Race Car Driver - Complete Set<br>-Hula Dancer - Complete Set<br>-Rapper - Complete Set<br>-Pilot - Complete Set<br>-Snowboarder - Complete Set<br>-Artist - Complete Set<br>-Musketeer - Complete Set<br>-Graduate - Complete Set<br>-Gangster - Complete Set<br>-Gladiator - Complete Set<br>-Cave Woman - Complete Set<br>-Zookeeper - Complete Set<br>-LEGO World Denmark Puzzle Promo 2011,Sets:<br>-
2016,248.0,Van & Caravan,"Set: "
2009,788.0,Home One Mon Calamari Star Cruiser - Limited Edition,"Set: "
1996,510.0,Mystic Mountain Time Lab,"Set: "
1992,406.0,Galactic Mediator,"Set: "
2000,26.0,Santa In Truck with Polar Bear<br>-Three Minifig Pack - Ninja #3,Sets:<br>-
2005,108.0,Desert Biplane,"Set: "
2001,1868.0,Darth Maul,"Set: "
2014,285.0,Furry Creatures<br>-T-Rawket Sky Strike,Sets:<br>-
2011,41.0,Republic Attack Cruiser - Mini<br>-Skeleton Chopper<br>-Valentine Letter Set,Sets:<br>-
2003,1002.0,CREATOR Strata Red {Red Tub},"Set: "
1998,10.0,Advent Calendar 1998 Classic Basic (Day 18) Blue Elf<br>-Advent Calendar 1998 Classic Basic (Day  1)  Airplane<br>-Advent Calendar 1998 Classic Basic (Day 23) Truck<br>-Advent Calendar 1998 Classic Basic (Day 24) Airplane<br>-Advent Calendar 1998 Classic Basic (Day  4) Boat<br>-Advent Calendar 1998 Classic Basic (Day  5) Sailboat<br>-Advent Calendar 1998 Classic Basic (Day  6) Airplane<br>-Danone Promotional Set: Hippo<br>-Danone Promotional Set: Cow<br>-Danone Promotional Set: Bison<br>-Rhinocerous<br>-Animal<br>-Danone Promotional Set: Girl<br>-Mail Carrier<br>-Lego System Road Plates<br>-Shell Town 1998 Promotional (complete set),Sets:<br>-
2007,434.0,MX-71 Recon Dropship,"Set: "
2016,107.0,Emma's Creative Workshop,"Set: "
1985,18.0,Red/Blue Beams<br>-Connecting Leads<br>-Fire Engine,Sets:<br>-
2006,1090.0,The Batcave: The Penguin and Mr. Freeze's Invasion,"Set: "
1977,86.0,Policemen<br>-Fireplace,Sets:<br>-
2015,36.0,Giraffes<br>-LEGO® DIMENSIONS™ Legolas Fun Pack,Sets:<br>-
1969,24.0,4.5V Motor Set with Rubber Tracks,"Set: "
2015,114.0,Valentine&#039;s Day Dinner,"Set: "
2006,2000.0,XXL 2000,"Set: "
2011,287.0,Ultimate Build Mater,"Set: "
2012,371.0,Heartlake Vet,"Set: "
1992,96.0,Random Special Pieces,"Set: "
1997,1269.0,Barcode Multi-Set,"Set: "
1984,19.0,Differential Gear Housing,"Set: "
2010,85.0,Holiday Building Set,"Set: "
2010,22.0,Court Jester<br>-Swampfire,Sets:<br>-
2000,12.0,Advent Calendar 2000 (Day  1) Plane<br>-Advent Calendar 2000 (Day  3) Ship<br>-Aircraft<br>-Ship,Sets:<br>-
1995,274.0,Girl's Freestyle Set,"Set: "
2015,215.0,Rainforest Animals,"Set: "
1993,28.0,Decorated Elements<br>-Pirates' Plunder,Sets:<br>-
2005,136.0,Pretty in Pink Beauty Set,"Set: "
2002,410.0,"Santa Fe Cars - Set II (dining, observation, or sleeping car)","Set: "
1967,99.0,Locomotive without Motor<br>-Transport Truck,Sets:<br>-
2015,47.0,TIE Advanced Prototype<br>-The Joker Bumper Car<br>-Bunny and Babies<br>-Airjitzu Kai Flyer,Sets:<br>-
2015,1214.0,Imperial Assault Carrier,"Set: "
1997,67.0,Fire Engine,"Set: "
